source,target
AL,FL
AL,GA
AL,MS
AL,TN
FL,GA
GA,NC
GA,SC
GA,TN
MS,AR
MS,LA
MS,TN
TN,AR
TN,KY
TN,MO
TN,NC
TN,VA
AR,LA
AR,MO
AR,OK
AR,TX
LA,TX
MO,IA
MO,IL
MO,KS
MO,KY
MO,NE
MO,OK
OK,CO
OK,KS
OK,NM
OK,TX
TX,NM
AZ,CA
AZ,NM
AZ,NV
AZ,UT
CA,NV
CA,OR
NM,CO
NV,ID
NV,OR
NV,UT
UT,CO
UT,ID
UT,WY
OR,ID
OR,WA
CO,KS
CO,NE
CO,WY
KS,NE
NE,IA
NE,SD
NE,WY
WY,ID
WY,MT
WY,SD
CT,MA
CT,NY
CT,RI
MA,NH
MA,NY
MA,RI
MA,VT
NY,NJ
NY,PA
NY,VT
DC,MD
DC,VA
MD,DE
MD,PA
MD,VA
MD,WV
VA,KY
VA,NC
VA,WV
DE,NJ
DE,PA
NJ,PA
PA,OH
PA,WV
NC,SC
IA,IL
IA,MN
IA,SD
IA,WI
IL,IN
IL,KY
IL,WI
MN,ND
MN,SD
MN,WI
SD,MT
SD,ND
WI,MI
ID,MT
ID,WA
MT,ND
IN,KY
IN,MI
IN,OH
KY,OH
KY,WV
MI,OH
OH,WV
NH,ME
NH,VT
